rssi: -90 dBm, meters: 35.48 m
rssi: -89 dBm, meters: 31.62 m
rssi: -88 dBm, meters: 28.18 m
rssi: -87 dBm, meters: 25.12 m
rssi: -86 dBm, meters: 22.39 m
rssi: -85 dBm, meters: 19.95 m
rssi: -84 dBm, meters: 17.78 m
rssi: -83 dBm, meters: 15.85 m
rssi: -82 dBm, meters: 14.13 m
rssi: -81 dBm, meters: 12.59 m
rssi: -80 dBm, meters: 11.22 m
rssi: -79 dBm, meters: 10.00 m
rssi: -78 dBm, meters: 8.91 m
rssi: -77 dBm, meters: 7.94 m
rssi: -76 dBm, meters: 7.08 m
rssi: -75 dBm, meters: 6.31 m
rssi: -74 dBm, meters: 5.62 m
rssi: -73 dBm, meters: 5.01 m
rssi: -72 dBm, meters: 4.47 m
rssi: -71 dBm, meters: 3.98 m
rssi: -70 dBm, meters: 3.55 m
rssi: -69 dBm, meters: 3.16 m
rssi: -68 dBm, meters: 2.82 m
rssi: -67 dBm, meters: 2.51 m
rssi: -66 dBm, meters: 2.24 m
rssi: -65 dBm, meters: 2.00 m
rssi: -65 dBm, meters: 2.00 m
rssi: -60 dBm, meters: 1.12 m
rssi: -55 dBm, meters: 0.63 m
rssi: -50 dBm, meters: 0.35 m
rssi: -45 dBm, meters: 0.20 m
rssi: -40 dBm, meters: 0.11 m
rssi: -35 dBm, meters: 0.06 m
rssi: -30 dBm, meters: 0.04 m
rssi: -25 dBm, meters: 0.02 m
